ts,open,high,low,close,vol,quoteVol,col7,dt_utc,dt_et
1785697200000,310.38,310.38,310.21,310.21,0.6568,203.801773,203.801773,2026-08-02 19:00:00+00:00,2026-08-02 15:00:00-04:00
1785700800000,310.21,310.21,309.07,310.21,10.8639,3362.870788,3362.870788,2026-08-02 20:00:00+00:00,2026-08-02 16:00:00-04:00
1785708000000,310.31,310.39,310.31,310.39,1.4319,444.400889,444.400889,2026-08-02 22:00:00+00:00,2026-08-02 18:00:00-04:00
1785711600000,310.17,310.17,306.77,308.56,32.1053,9890.65921,9890.65921,2026-08-02 23:00:00+00:00,2026-08-02 19:00:00-04:00
1785715200000,309.99,309.99,307.91,308.39,57652.0,17793964.92999997,17793964.92999997,2026-08-03 00:00:00+00:00,2026-08-02 20:00:00-04:00
1785718800000,308.39,308.44,307.83,308.21,24914.0,7676752.94,7676752.94,2026-08-03 01:00:00+00:00,2026-08-02 21:00:00-04:00
1785722400000,308.23,308.89,308.23,308.8,26406.0,8147571.0,8147571,2026-08-03 02:00:00+00:00,2026-08-02 22:00:00-04:00
1785726000000,308.79,309.3,308.65,308.69,19229.0,5942281.4,5942281.4,2026-08-03 03:00:00+00:00,2026-08-02 23:00:00-04:00
1785729600000,308.69,309.01,308.64,308.91,9641.0,2977456.49,2977456.49,2026-08-03 04:00:00+00:00,2026-08-03 00:00:00-04:00
1785733200000,308.9,308.9,308.49,308.51,7841.0,2419942.28,2419942.28,2026-08-03 05:00:00+00:00,2026-08-03 01:00:00-04:00
1785736800000,308.51,308.98,308.46,308.94,12854.0,3969058.9,3969058.9,2026-08-03 06:00:00+00:00,2026-08-03 02:00:00-04:00
1785740400000,308.91,308.94,308.53,308.93,12877.0,3975977.66,3975977.66,2026-08-03 07:00:00+00:00,2026-08-03 03:00:00-04:00
1785744000000,308.97,309.205,307.425,307.93,171295.8511280001,52813834.04227431,52813834.04227431,2026-08-03 08:00:00+00:00,2026-08-03 04:00:00-04:00
