ts,open,high,low,close,vol,quoteVol,col7,dt_utc,dt_et
1785956400000,221.745,222.18,218.9,219.15,24506224.894755,5412912899.15108,5412912899.15107956,2026-08-05 19:00:00+00:00,2026-08-05 15:00:00-04:00
1785960000000,219.184,220.147,218.88,219.965,19420784.488591,4260392051.789672,4260392051.7896721487,2026-08-05 20:00:00+00:00,2026-08-05 16:00:00-04:00
1785963600000,219.96,220.086,219.326,219.82,1052903.05144,231581393.39080167,231581393.39080166,2026-08-05 21:00:00+00:00,2026-08-05 17:00:00-04:00
1785967200000,219.88,221.13,219.829,221.13,488156.1797520001,107671973.96486498,107671973.96486498,2026-08-05 22:00:00+00:00,2026-08-05 18:00:00-04:00
1785970800000,220.84,220.995,220.519,220.6,268194.62323100003,59199806.06158318,59199806.06158318,2026-08-05 23:00:00+00:00,2026-08-05 19:00:00-04:00
1785974400000,220.48,220.74,219.56,219.59,56134.0,12359000.81,12359000.81,2026-08-06 00:00:00+00:00,2026-08-05 20:00:00-04:00
1785978000000,219.59,219.6,218.5,219.01,117399.0,25701249.98,25701249.98,2026-08-06 01:00:00+00:00,2026-08-05 21:00:00-04:00
1785981600000,219.03,220.51,218.8,220.36,99398.0,21864218.74,21864218.74,2026-08-06 02:00:00+00:00,2026-08-05 22:00:00-04:00
1785985200000,220.36,220.6,219.48,219.99,64882.0,14276159.07,14276159.07,2026-08-06 03:00:00+00:00,2026-08-05 23:00:00-04:00
1785988800000,219.99,220.42,219.64,220.07,32179.0,7080649.72,7080649.72,2026-08-06 04:00:00+00:00,2026-08-06 00:00:00-04:00
1785992400000,220.07,220.27,219.8,220.21,26598.0,5854041.81,5854041.81,2026-08-06 05:00:00+00:00,2026-08-06 01:00:00-04:00
1785996000000,220.21,220.26,218.96,219.34,70800.0,15541228.42,15541228.42,2026-08-06 06:00:00+00:00,2026-08-06 02:00:00-04:00
1785999600000,219.36,219.8,219.14,219.17,36513.0,8014322.87,8014322.87,2026-08-06 07:00:00+00:00,2026-08-06 03:00:00-04:00
1786003200000,219.2,220.654,218.451,219.61,502450.377822,110159833.57565996,110159833.57565995,2026-08-06 08:00:00+00:00,2026-08-06 04:00:00-04:00
1786006800000,219.43,219.68,218.78,219.33,127958.42441700002,28038326.73330769,28038326.73330769,2026-08-06 09:00:00+00:00,2026-08-06 05:00:00-04:00
1786010400000,219.63,219.825,219.08,219.26,95945.71389099998,21062099.05906621,21062099.05906621,2026-08-06 10:00:00+00:00,2026-08-06 06:00:00-04:00
1786014000000,219.19,222.309,218.838,221.86,1162065.872643,256669324.10803917,256669324.10803913,2026-08-06 11:00:00+00:00,2026-08-06 07:00:00-04:00
1786017600000,221.71,222.045,220.65,221.39,1039217.441343,230212331.92827567,230212331.92827567,2026-08-06 12:00:00+00:00,2026-08-06 08:00:00-04:00
1786021200000,221.29,223.62,220.06,222.14,19302038.839591,4294226881.4496584,4294226881.44965893,2026-08-06 13:00:00+00:00,2026-08-06 09:00:00-04:00
