ts,open,high,low,close,vol,quoteVol,extra,dt_utc,dt_et
1789227000000,219.02,219.04,218.53,218.7,7.1437,1563.144269,1563.144269,2026-09-12 15:30:00+00:00,2026-09-12 11:30:00-04:00
1789227300000,218.93,219.0,218.72,218.9,5.6138,1228.889243,1228.889243,2026-09-12 15:35:00+00:00,2026-09-12 11:35:00-04:00
1789227600000,219.01,219.04,218.9,219.01,6.8953,1509.804383,1509.804383,2026-09-12 15:40:00+00:00,2026-09-12 11:40:00-04:00
1789227900000,218.96,219.03,218.93,218.93,2.4783,542.678538,542.678538,2026-09-12 15:45:00+00:00,2026-09-12 11:45:00-04:00
1789228200000,218.93,219.01,218.75,219.01,8.174,1789.671199,1789.671199,2026-09-12 15:50:00+00:00,2026-09-12 11:50:00-04:00
1789228500000,218.9,219.03,218.89,219.01,4.0233,880.92018,880.92018,2026-09-12 15:55:00+00:00,2026-09-12 11:55:00-04:00
1789228800000,218.96,219.07,218.94,218.96,4.4667,978.13713,978.13713,2026-09-12 16:00:00+00:00,2026-09-12 12:00:00-04:00
1789229100000,219.01,219.07,218.94,219.02,6.2069,1359.298349,1359.298349,2026-09-12 16:05:00+00:00,2026-09-12 12:05:00-04:00
1789229400000,219.02,219.15,218.97,219.06,20.789,4553.981392,4553.981392,2026-09-12 16:10:00+00:00,2026-09-12 12:10:00-04:00
1789229700000,219.02,219.08,218.99,219.02,8.3287,1824.173837,1824.173837,2026-09-12 16:15:00+00:00,2026-09-12 12:15:00-04:00
1789230000000,219.0,219.02,218.93,218.93,8.0503,1762.846627,1762.846627,2026-09-12 16:20:00+00:00,2026-09-12 12:20:00-04:00
1789230300000,219.02,219.02,218.93,219.02,13.6097,2980.673941,2980.673941,2026-09-12 16:25:00+00:00,2026-09-12 12:25:00-04:00
1789230600000,218.93,219.02,218.9,218.92,6.6346,1452.765978,1452.765978,2026-09-12 16:30:00+00:00,2026-09-12 12:30:00-04:00
1789230900000,219.01,219.06,218.9,218.94,10.3139,2258.571738,2258.571738,2026-09-12 16:35:00+00:00,2026-09-12 12:35:00-04:00
1789231200000,219.05,219.08,218.93,219.02,12.6052,2760.867554,2760.867554,2026-09-12 16:40:00+00:00,2026-09-12 12:40:00-04:00
1789231500000,219.07,219.17,218.9,219.15,2.9172,639.036816,639.036816,2026-09-12 16:45:00+00:00,2026-09-12 12:45:00-04:00
1789231800000,218.93,219.16,218.93,218.95,2.7703,606.787981,606.787981,2026-09-12 16:50:00+00:00,2026-09-12 12:50:00-04:00
1789232100000,219.13,219.17,218.94,219.13,2.9284,641.480838,641.480838,2026-09-12 16:55:00+00:00,2026-09-12 12:55:00-04:00
1789232400000,218.97,219.17,218.91,218.91,0.9346,204.689526,204.689526,2026-09-12 17:00:00+00:00,2026-09-12 13:00:00-04:00
1789232700000,219.09,219.09,219.09,219.09,0.0917,20.090553,20.090553,2026-09-12 17:05:00+00:00,2026-09-12 13:05:00-04:00
1789233000000,218.91,218.91,218.91,218.91,0.3696,80.909136,80.909136,2026-09-12 17:10:00+00:00,2026-09-12 13:10:00-04:00
1789235100000,219.07,219.07,219.07,219.07,0.1392,30.494544,30.494544,2026-09-12 17:45:00+00:00,2026-09-12 13:45:00-04:00
1789235400000,219.06,219.07,218.89,219.05,2.8026,613.714101,613.714101,2026-09-12 17:50:00+00:00,2026-09-12 13:50:00-04:00
