ts,open,high,low,close,vol,quoteVol,extra,dt_utc,dt_et
1789144800000,715.185,716.04,715.05,716.0,91182.0,65243695.7087,65243695.7087,2026-09-11 16:40:00+00:00,2026-09-11 12:40:00-04:00
1789145100000,715.99,716.0678,715.57,715.605,56656.0,40557404.3024,40557404.3024,2026-09-11 16:45:00+00:00,2026-09-11 12:45:00-04:00
1789145400000,715.555,715.92,715.555,715.9,52918.68930699999,37877950.964897536,37877950.964897541542259,2026-09-11 16:50:00+00:00,2026-09-11 12:50:00-04:00
1789145700000,715.91,716.13,715.85,716.085,174808.0,124394453.6071,124394453.6071,2026-09-11 16:55:00+00:00,2026-09-11 12:55:00-04:00
1789146000000,716.11,716.41,716.1,716.2,109433.0,78379540.0696,78379540.0696,2026-09-11 17:00:00+00:00,2026-09-11 13:00:00-04:00
1789146300000,716.2006,716.79,716.2006,716.49,146792.0,105176015.2301,105176015.2301,2026-09-11 17:05:00+00:00,2026-09-11 13:05:00-04:00
1789146600000,716.495,716.645,716.09,716.1101,111626.0,79961788.4517,79961788.4517,2026-09-11 17:10:00+00:00,2026-09-11 13:10:00-04:00
1789146900000,716.14,716.74,716.14,716.625,61630.0,44157993.5514,44157993.5514,2026-09-11 17:15:00+00:00,2026-09-11 13:15:00-04:00
1789147200000,716.63,717.045,716.62,717.04,100641.0,72137807.9088,72137807.9088,2026-09-11 17:20:00+00:00,2026-09-11 13:20:00-04:00
1789147500000,717.03,717.13,716.765,716.765,144190.921757,103354898.00199804,103354898.0019980344680752,2026-09-11 17:25:00+00:00,2026-09-11 13:25:00-04:00
1789147800000,716.72,717.09,716.71,716.75,39466.94699,28293382.195524264,28293382.1955242638676156,2026-09-11 17:30:00+00:00,2026-09-11 13:30:00-04:00
1789148100000,716.78,716.8997,716.65,716.69,102828.0,73707360.3682,73707360.3682,2026-09-11 17:35:00+00:00,2026-09-11 13:35:00-04:00
1789148400000,716.6801,716.94,716.6401,716.76,58191.0,41709632.9513,41709632.9513,2026-09-11 17:40:00+00:00,2026-09-11 13:40:00-04:00
1789148700000,716.74,716.89,716.56,716.84,351935.0,250564000.3838,250564000.3838,2026-09-11 17:45:00+00:00,2026-09-11 13:45:00-04:00
1789149000000,716.87,716.88,716.7515,716.765,164959.0,117393286.8047,117393286.8047,2026-09-11 17:50:00+00:00,2026-09-11 13:50:00-04:00
1789149300000,716.79,716.82,716.44,716.51,88953.90721,63743750.94598499,63743750.945984992,2026-09-11 17:55:00+00:00,2026-09-11 13:55:00-04:00
1789149600000,716.53,716.71,716.46,716.57,72698.416783,52094623.32309557,52094623.3230955664,2026-09-11 18:00:00+00:00,2026-09-11 14:00:00-04:00
1789149900000,716.55,716.555,716.31,716.36,336287.0,240941898.1777,240941898.1777,2026-09-11 18:05:00+00:00,2026-09-11 14:05:00-04:00
1789150200000,716.385,716.39,716.1799,716.2401,296081.0,210481129.7611,210481129.7611,2026-09-11 18:10:00+00:00,2026-09-11 14:10:00-04:00
1789150500000,716.27,716.37,716.09,716.25,109988.518784,78775954.8772949,78775954.8772948928,2026-09-11 18:15:00+00:00,2026-09-11 14:15:00-04:00
1789150800000,716.259,716.27,715.72,716.0,538923.0,383556939.6962,383556939.6962,2026-09-11 18:20:00+00:00,2026-09-11 14:20:00-04:00
1789151100000,716.01,716.36,715.915,716.285,116590.0,83489539.0053,83489539.0053,2026-09-11 18:25:00+00:00,2026-09-11 14:25:00-04:00
1789151400000,716.28,716.64,716.04,716.57,117138.0,83918765.9326,83918765.9326,2026-09-11 18:30:00+00:00,2026-09-11 14:30:00-04:00
1789151700000,716.62,716.67,716.3,716.39,71492.568026,51223619.96094189,51223619.960941884,2026-09-11 18:35:00+00:00,2026-09-11 14:35:00-04:00
1789152000000,716.4,716.46,716.11,716.18,93028.270726,66634420.89112312,66634420.8911231214,2026-09-11 18:40:00+00:00,2026-09-11 14:40:00-04:00
1789152300000,716.19,716.34,715.97,716.03,124710.275357,89303044.32790118,89303044.3279011966,2026-09-11 18:45:00+00:00,2026-09-11 14:45:00-04:00
1789152600000,716.0,716.09,715.91,715.94,102635.278596,73488557.95273872,73488557.952738718039763,2026-09-11 18:50:00+00:00,2026-09-11 14:50:00-04:00
1789152900000,715.93,716.185,715.88,715.9401,135367.0,96922248.8275,96922248.8275,2026-09-11 18:55:00+00:00,2026-09-11 14:55:00-04:00
1789153200000,715.98,716.05,715.79,715.861,100362.0,71850718.8059,71850718.8059,2026-09-11 19:00:00+00:00,2026-09-11 15:00:00-04:00
1789153500000,715.89,716.0,715.5601,715.62,114459.174912,81927157.26352742,81927157.263527436042039,2026-09-11 19:05:00+00:00,2026-09-11 15:05:00-04:00
1789153800000,715.606,715.6937,715.3923,715.6,96627.0,69139500.1469,69139500.1469,2026-09-11 19:10:00+00:00,2026-09-11 15:10:00-04:00
1789154100000,715.655,715.86,715.57,715.69,84827.0,60712626.6158,60712626.6158,2026-09-11 19:15:00+00:00,2026-09-11 15:15:00-04:00
1789154400000,715.705,715.83,715.57,715.82,90938.0,65086440.0319,65086440.0319,2026-09-11 19:20:00+00:00,2026-09-11 15:20:00-04:00
1789154700000,715.81,715.88,715.54,715.605,68144.0,48772492.5719,48772492.5719,2026-09-11 19:25:00+00:00,2026-09-11 15:25:00-04:00
1789155000000,715.59,715.7199,715.55,715.71,120819.000043,86461323.50517157,86461323.505171576856179,2026-09-11 19:30:00+00:00,2026-09-11 15:30:00-04:00
1789155300000,715.71,715.74,715.57,715.67,243540.614551,174289928.46532312,174289928.465323135687,2026-09-11 19:35:00+00:00,2026-09-11 15:35:00-04:00
1789155600000,715.67,715.89,715.66,715.79,236267.0,169109409.3497,169109409.3497,2026-09-11 19:40:00+00:00,2026-09-11 15:40:00-04:00
1789155900000,715.79,715.905,715.53,715.59,282259.0,202016643.584,202016643.584,2026-09-11 19:45:00+00:00,2026-09-11 15:45:00-04:00
1789156200000,715.5,715.665,715.11,715.475,375421.0,268549891.6984,268549891.6984,2026-09-11 19:50:00+00:00,2026-09-11 15:50:00-04:00
1789156500000,715.41,715.45,714.74,714.88,1000911.0,715795256.4227,715795256.4227,2026-09-11 19:55:00+00:00,2026-09-11 15:55:00-04:00
1789156800000,714.93,714.9763,714.77,714.9,742822.816885,531060482.9398213,531060482.939821347,2026-09-11 20:00:00+00:00,2026-09-11 16:00:00-04:00
1789157100000,714.9,715.03,714.76,714.9979,111072.0,79404350.4474,79404350.4474,2026-09-11 20:05:00+00:00,2026-09-11 16:05:00-04:00
1789157400000,715.0,715.0275,714.6412,714.7793,177070.841695,126604131.2398736,126604131.239873611,2026-09-11 20:10:00+00:00,2026-09-11 16:10:00-04:00
1789157700000,714.8,714.88,714.67,714.6715,8513.206401,6084675.024941465,6084675.0249414648,2026-09-11 20:15:00+00:00,2026-09-11 16:15:00-04:00
