ts,open,high,low,close,vol,quoteVol,col7,dt_utc,dt_et
1785236400000,738.72,739.478,737.598,739.47,190725.80536099995,140840383.83173987,140840383.83173986,2026-07-28 11:00:00+00:00,2026-07-28 07:00:00-04:00
1785240000000,739.33,740.69,739.19,740.02,472946.510052,349827513.83178014,349827513.83178014,2026-07-28 12:00:00+00:00,2026-07-28 08:00:00-04:00
1785243600000,739.54,740.438,736.0,736.49,6018318.546248,4440628977.818033,4440628977.81803392,2026-07-28 13:00:00+00:00,2026-07-28 09:00:00-04:00
1785247200000,736.49,739.81,736.275,738.615,6503939.003010998,4798986026.45929,4798986026.45929017,2026-07-28 14:00:00+00:00,2026-07-28 10:00:00-04:00
1785250800000,738.657,742.44,738.02,742.191,6894795.127436,5106535947.989304,5106535947.9893034716,2026-07-28 15:00:00+00:00,2026-07-28 11:00:00-04:00
1785254400000,742.215,742.78,740.915,742.6,4520127.989627,3353266027.8422303,3353266027.8422304426,2026-07-28 16:00:00+00:00,2026-07-28 12:00:00-04:00
1785258000000,742.48,742.75,740.53,741.18,2797100.9800790004,2073833881.1127207,2073833881.11272068,2026-07-28 17:00:00+00:00,2026-07-28 13:00:00-04:00
1785261600000,741.22,741.62,740.42,741.47,3092428.401537,2291122065.044814,2291122065.04481418,2026-07-28 18:00:00+00:00,2026-07-28 14:00:00-04:00
1785265200000,741.465,741.95,740.45,740.785,12333304.141358,9142447727.201242,9142447727.20124201,2026-07-28 19:00:00+00:00,2026-07-28 15:00:00-04:00
1785268800000,740.81,741.581,740.15,741.03,6516568.959376997,4826851301.113962,4826851301.11396294,2026-07-28 20:00:00+00:00,2026-07-28 16:00:00-04:00
1785272400000,741.05,741.17,740.865,740.954,513586.751704,380574665.0751368,380574665.07513679,2026-07-28 21:00:00+00:00,2026-07-28 17:00:00-04:00
1785276000000,741.27,741.59,739.339,739.85,283838.46784000006,210131805.42055097,210131805.42055096,2026-07-28 22:00:00+00:00,2026-07-28 18:00:00-04:00
1785279600000,739.39,743.557,739.221,743.04,192000.06279,142309736.13971567,142309736.13971568,2026-07-28 23:00:00+00:00,2026-07-28 19:00:00-04:00
1785283200000,743.53,744.35,742.79,742.96,25.0,18588.45,18588.45,2026-07-29 00:00:00+00:00,2026-07-28 20:00:00-04:00
1785286800000,742.83,743.13,739.88,739.88,16982.0,12589488.33,12589488.33,2026-07-29 01:00:00+00:00,2026-07-28 21:00:00-04:00
1785290400000,739.83,741.16,739.65,740.59,16355.0,12108985.75,12108985.75,2026-07-29 02:00:00+00:00,2026-07-28 22:00:00-04:00
1785294000000,740.61,741.08,738.88,739.12,12929.0,9565546.01,9565546.01,2026-07-29 03:00:00+00:00,2026-07-28 23:00:00-04:00
1785297600000,739.05,739.38,738.2,739.35,13963.0,10315602.35,10315602.35,2026-07-29 04:00:00+00:00,2026-07-29 00:00:00-04:00
1785301200000,739.37,740.61,739.21,740.09,9796.0,7250918.6,7250918.6,2026-07-29 05:00:00+00:00,2026-07-29 01:00:00-04:00
1785304800000,740.11,742.3,739.49,742.13,10708.0,7937749.41,7937749.41,2026-07-29 06:00:00+00:00,2026-07-29 02:00:00-04:00
1785308400000,742.14,742.76,741.8,742.47,9691.0,7193080.48,7193080.48,2026-07-29 07:00:00+00:00,2026-07-29 03:00:00-04:00
1785312000000,742.19,743.123,741.231,742.53,105267.75645200002,78135244.8691125,78135244.8691125,2026-07-29 08:00:00+00:00,2026-07-29 04:00:00-04:00
1785315600000,742.24,743.414,742.06,742.92,35274.271686999986,26194254.39093311,26194254.39093311,2026-07-29 09:00:00+00:00,2026-07-29 05:00:00-04:00
1785319200000,742.877,743.086,741.921,741.985,116918.671119,86810697.60844192,86810697.6084419096,2026-07-29 10:00:00+00:00,2026-07-29 06:00:00-04:00
1785322800000,742.11,742.71,741.953,742.24,164414.03372399998,122058068.50830068,122058068.50830067,2026-07-29 11:00:00+00:00,2026-07-29 07:00:00-04:00
1785326400000,742.28,742.388,739.979,740.62,274814.3922120001,203528418.27826235,203528418.27826235,2026-07-29 12:00:00+00:00,2026-07-29 08:00:00-04:00
1785330000000,740.51,740.75,736.62,737.44,4360227.898841,3222493140.1252933,3222493140.12529332,2026-07-29 13:00:00+00:00,2026-07-29 09:00:00-04:00
1785333600000,737.42,738.29,733.79,734.86,7303618.495781999,5373580340.0473385,5373580340.04733866,2026-07-29 14:00:00+00:00,2026-07-29 10:00:00-04:00
1785337200000,734.81,735.625,733.01,733.74,3432319.101392,2521277269.3818808,2521277269.38188088,2026-07-29 15:00:00+00:00,2026-07-29 11:00:00-04:00
1785340800000,733.77,734.87,731.73,734.829,6585974.773587,4828371951.258829,4828371951.2588287274,2026-07-29 16:00:00+00:00,2026-07-29 12:00:00-04:00
1785344400000,734.88,737.22,734.74,736.347,5699509.795454,4194855562.2799983,4194855562.2799980853,2026-07-29 17:00:00+00:00,2026-07-29 13:00:00-04:00
1785348000000,736.44,742.68,736.0,741.95,9407849.686261002,6953051941.34517,6953051941.34516974,2026-07-29 18:00:00+00:00,2026-07-29 14:00:00-04:00
1785351600000,742.0,742.56,729.11,729.49,25396235.24256,18606668573.143696,18606668573.14369978,2026-07-29 19:00:00+00:00,2026-07-29 15:00:00-04:00
1785355200000,729.56,730.04,726.974,728.74,10655658.938599002,7761386972.316936,7761386972.3169367,2026-07-29 20:00:00+00:00,2026-07-29 16:00:00-04:00
1785358800000,728.01,728.478,726.81,727.34,1233682.2575449997,898079355.137132,898079355.13713202,2026-07-29 21:00:00+00:00,2026-07-29 17:00:00-04:00
1785362400000,728.3,732.034,727.817,731.3,290690.386466,212487695.9373708,212487695.93737082,2026-07-29 22:00:00+00:00,2026-07-29 18:00:00-04:00
1785366000000,731.99,732.701,731.409,732.56,103630.416795,75879175.66625854,75879175.66625855,2026-07-29 23:00:00+00:00,2026-07-29 19:00:00-04:00
1785369600000,732.63,733.41,731.49,732.23,16751.0,12269556.84999999,12269556.84999999,2026-07-30 00:00:00+00:00,2026-07-29 20:00:00-04:00
1785373200000,732.26,733.93,732.12,733.57,24118.0,17685120.82,17685120.82,2026-07-30 01:00:00+00:00,2026-07-29 21:00:00-04:00
1785376800000,733.57,733.88,732.41,732.42,15883.0,11646656.81,11646656.81,2026-07-30 02:00:00+00:00,2026-07-29 22:00:00-04:00
1785380400000,732.42,732.97,731.56,732.01,10666.0,7808484.92,7808484.92,2026-07-30 03:00:00+00:00,2026-07-29 23:00:00-04:00
1785384000000,732.07,732.45,731.24,731.39,8230.0,6022868.31,6022868.31,2026-07-30 04:00:00+00:00,2026-07-30 00:00:00-04:00
