ts,open,high,low,close,vol,quoteVol,extra,dt_utc,dt_et
1789101000000,759.34,759.5,759.34,759.42,1261.0,957618.84,957618.84,2026-09-11 04:30:00+00:00,2026-09-11 00:30:00-04:00
1789101300000,759.3,759.39,759.3,759.34,36.0,27336.38,27336.38,2026-09-11 04:35:00+00:00,2026-09-11 00:35:00-04:00
1789101600000,759.37,759.5,759.37,759.49,51.0,38731.72,38731.72,2026-09-11 04:40:00+00:00,2026-09-11 00:40:00-04:00
1789101900000,759.49,759.54,759.44,759.54,143.0,108603.15,108603.15,2026-09-11 04:45:00+00:00,2026-09-11 00:45:00-04:00
1789102200000,759.52,759.7,759.52,759.54,504.0,382854.52,382854.52,2026-09-11 04:50:00+00:00,2026-09-11 00:50:00-04:00
1789102500000,759.58,759.58,759.4,759.4,131.0,99498.79,99498.79,2026-09-11 04:55:00+00:00,2026-09-11 00:55:00-04:00
1789102800000,759.41,759.42,759.36,759.38,106.0,80494.39,80494.39,2026-09-11 05:00:00+00:00,2026-09-11 01:00:00-04:00
1789103100000,759.47,759.76,759.47,759.74,3700.0,2810561.7,2810561.7,2026-09-11 05:05:00+00:00,2026-09-11 01:05:00-04:00
1789103400000,759.71,759.88,759.67,759.88,3260.0,2476644.8,2476644.8,2026-09-11 05:10:00+00:00,2026-09-11 01:10:00-04:00
1789103700000,759.93,759.93,759.7,759.7,271.0,205889.39,205889.39,2026-09-11 05:15:00+00:00,2026-09-11 01:15:00-04:00
1789104000000,759.69,759.72,759.6,759.68,378.0,287154.63,287154.63,2026-09-11 05:20:00+00:00,2026-09-11 01:20:00-04:00
1789104300000,759.63,759.63,759.49,759.49,510.0,387386.62,387386.62,2026-09-11 05:25:00+00:00,2026-09-11 01:25:00-04:00
1789104600000,759.53,759.77,759.53,759.77,663.0,503663.18,503663.18,2026-09-11 05:30:00+00:00,2026-09-11 01:30:00-04:00
1789104900000,759.85,759.95,759.78,759.95,622.0,472647.03,472647.03,2026-09-11 05:35:00+00:00,2026-09-11 01:35:00-04:00
1789105200000,760.0,760.3,759.95,760.3,6291.0,4782573.25,4782573.25,2026-09-11 05:40:00+00:00,2026-09-11 01:40:00-04:00
1789105500000,760.25,760.52,760.06,760.52,955.0,726154.78,726154.78,2026-09-11 05:45:00+00:00,2026-09-11 01:45:00-04:00
1789105800000,760.51,760.81,760.4,760.8,586.0,445689.25,445689.25,2026-09-11 05:50:00+00:00,2026-09-11 01:50:00-04:00
1789106100000,760.76,761.0,760.76,760.87,671.0,510553.72,510553.72,2026-09-11 05:55:00+00:00,2026-09-11 01:55:00-04:00
1789106400000,760.88,760.89,760.67,760.67,946.0,719690.7,719690.7,2026-09-11 06:00:00+00:00,2026-09-11 02:00:00-04:00
1789106700000,760.62,761.1,760.6,760.89,2716.0,2066846.22,2066846.22,2026-09-11 06:05:00+00:00,2026-09-11 02:05:00-04:00
1789107000000,760.88,761.16,760.8,761.11,599.0,455844.54,455844.54,2026-09-11 06:10:00+00:00,2026-09-11 02:10:00-04:00
1789107300000,761.11,761.13,760.96,761.04,900.0,684996.16,684996.16,2026-09-11 06:15:00+00:00,2026-09-11 02:15:00-04:00
1789107600000,761.05,761.05,760.88,760.93,505.0,384263.11,384263.11,2026-09-11 06:20:00+00:00,2026-09-11 02:20:00-04:00
