ts,open,high,low,close,vol,quoteVol,extra,dt_utc,dt_et
1789137900000,364.785,366.2,364.785,366.2,431274.0,157624119.4797,157624119.4797,2026-09-11 14:45:00+00:00,2026-09-11 10:45:00-04:00
1789138200000,366.21,366.21,364.85,364.98,356819.0,130416884.6775,130416884.6775,2026-09-11 14:50:00+00:00,2026-09-11 10:50:00-04:00
1789138500000,364.98,365.05,364.1001,364.91,273357.0,99672861.0843,99672861.0843,2026-09-11 14:55:00+00:00,2026-09-11 10:55:00-04:00
1789138800000,364.8,365.42,364.74,365.18,159892.0,58370862.451,58370862.451,2026-09-11 15:00:00+00:00,2026-09-11 11:00:00-04:00
1789139100000,365.185,365.96,365.04,365.765,269010.0,98347592.7951,98347592.7951,2026-09-11 15:05:00+00:00,2026-09-11 11:05:00-04:00
1789139400000,365.8,366.11,365.57,365.7398,197790.0,72360967.4943,72360967.4943,2026-09-11 15:10:00+00:00,2026-09-11 11:10:00-04:00
1789139700000,365.7257,367.23,365.7199,367.11,534600.0,195960097.3681,195960097.3681,2026-09-11 15:15:00+00:00,2026-09-11 11:15:00-04:00
1789140000000,367.13,367.17,365.33,365.47,451619.0,165345956.7854,165345956.7854,2026-09-11 15:20:00+00:00,2026-09-11 11:20:00-04:00
1789140300000,365.47,366.5099,365.11,366.33,441739.0,161630879.0736,161630879.0736,2026-09-11 15:25:00+00:00,2026-09-11 11:25:00-04:00
1789140600000,366.23,366.3386,365.56,365.8511,231334.0,84638726.6284,84638726.6284,2026-09-11 15:30:00+00:00,2026-09-11 11:30:00-04:00
1789140900000,365.95,366.1,365.48,365.8254,150668.0,55100625.4381,55100625.4381,2026-09-11 15:35:00+00:00,2026-09-11 11:35:00-04:00
1789141200000,365.835,365.95,365.4,365.5,131045.0,47922399.3459,47922399.3459,2026-09-11 15:40:00+00:00,2026-09-11 11:40:00-04:00
1789141500000,365.45,365.52,364.29,364.37,264438.0,96464017.2451,96464017.2451,2026-09-11 15:45:00+00:00,2026-09-11 11:45:00-04:00
1789141800000,364.4477,365.18,364.3927,365.11,262109.0,95630700.9293,95630700.9293,2026-09-11 15:50:00+00:00,2026-09-11 11:50:00-04:00
1789142100000,365.12,365.628,364.95,365.12,183584.0,67070174.0709,67070174.0709,2026-09-11 15:55:00+00:00,2026-09-11 11:55:00-04:00
1789142400000,365.18,366.4,365.12,366.3601,265157.0,96996971.1074,96996971.1074,2026-09-11 16:00:00+00:00,2026-09-11 12:00:00-04:00
1789142700000,366.3601,366.59,364.9005,365.45,286652.0,104903456.538,104903456.538,2026-09-11 16:05:00+00:00,2026-09-11 12:05:00-04:00
1789143000000,365.47,365.925,365.0505,365.07,160263.0,58558386.5601,58558386.5601,2026-09-11 16:10:00+00:00,2026-09-11 12:10:00-04:00
1789143300000,365.08,365.17,364.5929,364.78,232785.0,84923437.2963,84923437.2963,2026-09-11 16:15:00+00:00,2026-09-11 12:15:00-04:00
1789143600000,364.805,364.8934,364.0,364.35,267909.0,97608400.9894,97608400.9894,2026-09-11 16:20:00+00:00,2026-09-11 12:20:00-04:00
1789143900000,364.345,365.2,364.345,365.06,345869.0,126186311.5023,126186311.5023,2026-09-11 16:25:00+00:00,2026-09-11 12:25:00-04:00
1789144200000,365.0305,365.8099,364.78,365.6777,238073.0,86978519.4214,86978519.4214,2026-09-11 16:30:00+00:00,2026-09-11 12:30:00-04:00
1789144500000,365.75,365.78,364.78,364.8126,246789.0,90150305.047,90150305.047,2026-09-11 16:35:00+00:00,2026-09-11 12:35:00-04:00
1789144800000,364.87,365.4499,364.42,365.375,229497.0,83720643.8385,83720643.8385,2026-09-11 16:40:00+00:00,2026-09-11 12:40:00-04:00
1789145100000,365.38,365.4799,365.19,365.24,161367.0,58953002.1312,58953002.1312,2026-09-11 16:45:00+00:00,2026-09-11 12:45:00-04:00
1789145400000,365.219,365.5899,365.03,365.5899,151397.0,55309914.5524,55309914.5524,2026-09-11 16:50:00+00:00,2026-09-11 12:50:00-04:00
1789145700000,365.555,365.71,364.6803,364.82,180931.0,66065750.0024,66065750.0024,2026-09-11 16:55:00+00:00,2026-09-11 12:55:00-04:00
1789146000000,364.84,365.3499,364.58,364.72,121450.0,44317414.5033,44317414.5033,2026-09-11 17:00:00+00:00,2026-09-11 13:00:00-04:00
1789146300000,364.745,365.32,364.53,365.28,110136.0,40194703.0197,40194703.0197,2026-09-11 17:05:00+00:00,2026-09-11 13:05:00-04:00
1789146600000,365.28,365.5,365.01,365.365,129806.0,47418849.5091,47418849.5091,2026-09-11 17:10:00+00:00,2026-09-11 13:10:00-04:00
1789146900000,365.375,365.8,365.31,365.545,229449.0,83889523.1152,83889523.1152,2026-09-11 17:15:00+00:00,2026-09-11 13:15:00-04:00
