ts_hr,spot_close,spot_vol,perp_close,perp_vol,funding_rate,dt_utc,dt_et,hour_et,dow,session,is_weekend,is_weekday,is_rth,basis_bps
1787817600,226.5,5021939.252242002,226.5,18785.06,0.0,2026-08-27 08:00:00+00:00,2026-08-27 04:00:00-04:00,4,3,PRE,False,True,False,0.0
1787821200,224.59,1335099.5086230002,224.81,9801.27,0.0,2026-08-27 09:00:00+00:00,2026-08-27 05:00:00-04:00,5,3,PRE,False,True,False,9.795627588049284
1787824800,223.75,1164200.6436400004,224.01,6357.67,0.0,2026-08-27 10:00:00+00:00,2026-08-27 06:00:00-04:00,6,3,PRE,False,True,False,11.620111731843169
1787828400,222.43,4492193.376670999,222.62,11446.19,0.0,2026-08-27 11:00:00+00:00,2026-08-27 07:00:00-04:00,7,3,PRE,False,True,False,8.542013217641403
1787832000,222.155,6473986.308585,222.39,8867.35,0.0,2026-08-27 12:00:00+00:00,2026-08-27 08:00:00-04:00,8,3,PRE,False,True,False,10.57819990547074
1787835600,224.245,61862413.585776,224.32,52042.09,0.0,2026-08-27 13:00:00+00:00,2026-08-27 09:00:00-04:00,9,3,PRE,False,True,False,3.3445561773947525
1787839200,226.95,47953826.98551601,226.92,45171.57,0.0,2026-08-27 14:00:00+00:00,2026-08-27 10:00:00-04:00,10,3,RTH,False,True,True,-1.321877065432965
1787842800,226.19,25725118.871916007,226.16,11797.27,0.0,2026-08-27 15:00:00+00:00,2026-08-27 11:00:00-04:00,11,3,RTH,False,True,True,-1.32631858172338
1787846400,229.68,32458894.438499,229.59,13675.11,0.0,2026-08-27 16:00:00+00:00,2026-08-27 12:00:00-04:00,12,3,RTH,False,True,True,-3.918495297805791
1787850000,228.353,37575047.355902,228.2,8785.17,0.0,2026-08-27 17:00:00+00:00,2026-08-27 13:00:00-04:00,13,3,RTH,False,True,True,-6.700152833552438
1787853600,226.134,32417625.138213,226.16,6385.42,0.0,2026-08-27 18:00:00+00:00,2026-08-27 14:00:00-04:00,14,3,RTH,False,True,True,1.1497607613189729
1787857200,227.67,40677072.704047,227.81,7703.17,0.0,2026-08-27 19:00:00+00:00,2026-08-27 15:00:00-04:00,15,3,RTH,False,True,True,6.14925110906201
