ts_hr,spot_close,spot_vol,perp_close,perp_vol,funding_rate,dt_utc,dt_et,hour_et,dow,session,is_weekend,is_weekday,is_rth,basis_bps
1787817600,719.44,469560.63853400014,720.29,291.33,0.0,2026-08-27 08:00:00+00:00,2026-08-27 04:00:00-04:00,4,3,PRE,False,True,False,11.814744801511024
1787821200,719.27,102807.06883799996,719.69,261.81,0.0,2026-08-27 09:00:00+00:00,2026-08-27 05:00:00-04:00,5,3,PRE,False,True,False,5.839253687767775
1787824800,718.66,102520.799747,719.28,123.61,0.0,2026-08-27 10:00:00+00:00,2026-08-27 06:00:00-04:00,6,3,PRE,False,True,False,8.627167227896425
1787828400,717.54,241515.781007,718.27,280.81,0.0,2026-08-27 11:00:00+00:00,2026-08-27 07:00:00-04:00,7,3,PRE,False,True,False,10.17364885581317
1787832000,716.865,423296.775091,717.47,249.94,0.0,2026-08-27 12:00:00+00:00,2026-08-27 08:00:00-04:00,8,3,PRE,False,True,False,8.439524875674195
1787835600,715.97,4658177.905175,716.49,1425.59,0.0,2026-08-27 13:00:00+00:00,2026-08-27 09:00:00-04:00,9,3,PRE,False,True,False,7.262874142771091
1787839200,718.66,3661473.143126,718.99,614.03,0.0,2026-08-27 14:00:00+00:00,2026-08-27 10:00:00-04:00,10,3,RTH,False,True,True,4.591879330977666
1787842800,718.75,3198627.4972250005,719.08,342.05,0.0,2026-08-27 15:00:00+00:00,2026-08-27 11:00:00-04:00,11,3,RTH,False,True,True,4.591304347826656
1787846400,720.02,2111573.286987,720.29,291.61,0.000247,2026-08-27 16:00:00+00:00,2026-08-27 12:00:00-04:00,12,3,RTH,False,True,True,3.7498958362265187
1787850000,719.11,3648827.368642,719.37,217.49,0.000247,2026-08-27 17:00:00+00:00,2026-08-27 13:00:00-04:00,13,3,RTH,False,True,True,3.615580370179679
1787853600,718.144,4920118.663795,718.63,166.64,0.000247,2026-08-27 18:00:00+00:00,2026-08-27 14:00:00-04:00,14,3,RTH,False,True,True,6.767444969253938
1787857200,721.13,6094120.707404,721.65,324.79,0.000247,2026-08-27 19:00:00+00:00,2026-08-27 15:00:00-04:00,15,3,RTH,False,True,True,7.210905107261961
1787860800,719.59,2096388.075608,720.18,112.74,0.000247,2026-08-27 20:00:00+00:00,2026-08-27 16:00:00-04:00,16,3,AH,False,True,False,8.199113384009202
1787864400,719.89,346014.7237139999,719.94,58.42,0.000247,2026-08-27 21:00:00+00:00,2026-08-27 17:00:00-04:00,17,3,AH,False,True,False,0.6945505563359432
1787868000,719.653,111048.451393,720.01,125.3,0.000247,2026-08-27 22:00:00+00:00,2026-08-27 18:00:00-04:00,18,3,AH,False,True,False,4.960724126766245
1787871600,718.67,57966.449934,719.19,154.52,0.000247,2026-08-27 23:00:00+00:00,2026-08-27 19:00:00-04:00,19,3,AH,False,True,False,7.23558796109613
1787875200,720.16,13476.0,720.37,200.25,0.000193,2026-08-28 00:00:00+00:00,2026-08-27 20:00:00-04:00,20,3,ON,False,True,False,2.916018662519946
1787878800,720.94,25549.0,721.02,386.38,0.000193,2026-08-28 01:00:00+00:00,2026-08-27 21:00:00-04:00,21,3,ON,False,True,False,1.1096623852182876
1787882400,720.54,11979.0,720.9,196.69,0.000193,2026-08-28 02:00:00+00:00,2026-08-27 22:00:00-04:00,22,3,ON,False,True,False,4.996252810392396
1787886000,720.73,8984.0,721.0,68.0,0.000193,2026-08-28 03:00:00+00:00,2026-08-27 23:00:00-04:00,23,3,ON,False,True,False,3.7462017676519888
1787889600,720.04,7814.0,720.37,19.15,0.000193,2026-08-28 04:00:00+00:00,2026-08-28 00:00:00-04:00,0,4,ON,False,True,False,4.5830787178495775
