ts_hr,spot_close,spot_vol,perp_close,perp_vol,funding_rate,dt_utc,dt_et,hour_et,dow,session,is_weekend,is_weekday,is_rth,basis_bps
1787817600,769.87,108950.05745599994,770.05,142.61,0.0,2026-08-27 08:00:00+00:00,2026-08-27 04:00:00-04:00,4,3,PRE,False,True,False,2.338057074570382
1787821200,769.62,76418.89092299998,769.72,33.5,0.0,2026-08-27 09:00:00+00:00,2026-08-27 05:00:00-04:00,5,3,PRE,False,True,False,1.2993425326787602
1787824800,769.22,37651.34831500001,769.5,26.52,0.0,2026-08-27 10:00:00+00:00,2026-08-27 06:00:00-04:00,6,3,PRE,False,True,False,3.6400509607130953
1787828400,768.68,254608.245347,769.58,174.52,0.0,2026-08-27 11:00:00+00:00,2026-08-27 07:00:00-04:00,7,3,PRE,False,True,False,11.708383202374081
1787832000,768.01,462570.35751,768.65,56.5,0.0,2026-08-27 12:00:00+00:00,2026-08-27 08:00:00-04:00,8,3,PRE,False,True,False,8.333224827801544
1787835600,768.32,5138642.900474999,768.86,182.26,0.0,2026-08-27 13:00:00+00:00,2026-08-27 09:00:00-04:00,9,3,PRE,False,True,False,7.028321532694236
1787839200,770.315,3774766.766851,770.52,200.82,0.0,2026-08-27 14:00:00+00:00,2026-08-27 10:00:00-04:00,10,3,RTH,False,True,True,2.661248969576436
1787842800,770.68,3467480.1382770003,770.93,188.72,0.0,2026-08-27 15:00:00+00:00,2026-08-27 11:00:00-04:00,11,3,RTH,False,True,True,3.2438885140395497
1787846400,772.02,2278172.389929,772.17,180.35,0.0,2026-08-27 16:00:00+00:00,2026-08-27 12:00:00-04:00,12,3,RTH,False,True,True,1.9429548457290906
1787850000,771.23,4545708.057064,771.57,58.36,0.0,2026-08-27 17:00:00+00:00,2026-08-27 13:00:00-04:00,13,3,RTH,False,True,True,4.408542198825666
