ts_hr,spot_close,spot_vol,perp_close,perp_vol,funding_rate,dt_utc,dt_et,hour_et,dow,session,is_weekend,is_weekday,is_rth,basis_bps
1787817600,347.48,164726.11778000003,347.5,1525.37,0.0,2026-08-27 08:00:00+00:00,2026-08-27 04:00:00-04:00,4,3,PRE,False,True,False,0.5755726948308337
1787821200,347.41,40363.991488000014,347.71,397.33,0.0,2026-08-27 09:00:00+00:00,2026-08-27 05:00:00-04:00,5,3,PRE,False,True,False,8.635330013527375
1787824800,347.24,32484.128943000007,347.46,511.03,0.0,2026-08-27 10:00:00+00:00,2026-08-27 06:00:00-04:00,6,3,PRE,False,True,False,6.3356756134077425
1787828400,346.52,93605.88917900002,346.62,751.64,0.0,2026-08-27 11:00:00+00:00,2026-08-27 07:00:00-04:00,7,3,PRE,False,True,False,2.8858363153648487
1787832000,345.607,234712.201944,345.83,596.76,0.0,2026-08-27 12:00:00+00:00,2026-08-27 08:00:00-04:00,8,3,PRE,False,True,False,6.452415605006737
1787835600,350.23,4841158.192048001,350.46,6892.91,0.0,2026-08-27 13:00:00+00:00,2026-08-27 09:00:00-04:00,9,3,PRE,False,True,False,6.56711304000118
1787839200,353.64,5778197.231416,353.84,8266.43,0.0,2026-08-27 14:00:00+00:00,2026-08-27 10:00:00-04:00,10,3,RTH,False,True,True,5.65546883836638
1787842800,352.59,3162023.0335230003,352.67,3249.69,0.0,2026-08-27 15:00:00+00:00,2026-08-27 11:00:00-04:00,11,3,RTH,False,True,True,2.268924246292888
1787846400,353.83,2681444.042362,354.12,2647.77,0.000106,2026-08-27 16:00:00+00:00,2026-08-27 12:00:00-04:00,12,3,RTH,False,True,True,8.196026340333507
1787850000,354.25,3775779.595373,354.37,3014.88,0.000106,2026-08-27 17:00:00+00:00,2026-08-27 13:00:00-04:00,13,3,RTH,False,True,True,3.3874382498236995
1787853600,355.14,3877654.687555,355.27,2554.1,0.000106,2026-08-27 18:00:00+00:00,2026-08-27 14:00:00-04:00,14,3,RTH,False,True,True,3.6605282423831573
1787857200,354.657,5224605.613164,354.82,2670.94,0.000106,2026-08-27 19:00:00+00:00,2026-08-27 15:00:00-04:00,15,3,RTH,False,True,True,4.595989928297226
1787860800,354.47,3385010.3184210006,354.73,788.88,0.000106,2026-08-27 20:00:00+00:00,2026-08-27 16:00:00-04:00,16,3,AH,False,True,False,7.33489434930998
1787864400,354.27,48591.589756,354.62,330.66,0.000106,2026-08-27 21:00:00+00:00,2026-08-27 17:00:00-04:00,17,3,AH,False,True,False,9.879470460383965
1787868000,354.34,72807.23495,354.52,215.26,0.000106,2026-08-27 22:00:00+00:00,2026-08-27 18:00:00-04:00,18,3,AH,False,True,False,5.0798667946042455
1787871600,354.54,48893.79922700001,354.53,224.2,0.000106,2026-08-27 23:00:00+00:00,2026-08-27 19:00:00-04:00,19,3,AH,False,True,False,-0.2820556213698806
1787875200,354.77,8427.0,354.94,222.98,0.000106,2026-08-28 00:00:00+00:00,2026-08-27 20:00:00-04:00,20,3,ON,False,True,False,4.791836964794541
1787878800,355.03,5102.0,355.15,174.26,0.000106,2026-08-28 01:00:00+00:00,2026-08-27 21:00:00-04:00,21,3,ON,False,True,False,3.3799960566713954
1787882400,354.8,8197.0,355.06,339.54,0.000106,2026-08-28 02:00:00+00:00,2026-08-27 22:00:00-04:00,22,3,ON,False,True,False,7.328072153325561
1787886000,354.98,6283.0,355.18,72.56,0.000106,2026-08-28 03:00:00+00:00,2026-08-27 23:00:00-04:00,23,3,ON,False,True,False,5.634120232125433
1787889600,354.91,4761.0,355.09,79.92,0.000106,2026-08-28 04:00:00+00:00,2026-08-28 00:00:00-04:00,0,4,ON,False,True,False,5.0717083204178515
1787893200,354.4,7730.0,354.58,699.01,0.000106,2026-08-28 05:00:00+00:00,2026-08-28 01:00:00-04:00,1,4,ON,False,True,False,5.0790067720092225
1787896800,355.33,5281.0,355.46,293.26,0.000106,2026-08-28 06:00:00+00:00,2026-08-28 02:00:00-04:00,2,4,ON,False,True,False,3.6585709059183142
1787900400,355.41,11223.0,355.51,135.85,0.000106,2026-08-28 07:00:00+00:00,2026-08-28 03:00:00-04:00,3,4,ON,False,True,False,2.813651838720517
1787904000,356.93,108116.48808199997,357.52,1315.93,0.0,2026-08-28 08:00:00+00:00,2026-08-28 04:00:00-04:00,4,4,PRE,False,True,False,16.52985179166713
1787907600,356.54,40276.38378999999,356.43,1278.34,0.0,2026-08-28 09:00:00+00:00,2026-08-28 05:00:00-04:00,5,4,PRE,False,True,False,-3.085207830818804
1787911200,356.3,28658.983343000004,356.7,607.39,0.0,2026-08-28 10:00:00+00:00,2026-08-28 06:00:00-04:00,6,4,PRE,False,True,False,11.226494527083279
1787914800,355.565,145431.575428,355.66,1034.84,0.0,2026-08-28 11:00:00+00:00,2026-08-28 07:00:00-04:00,7,4,PRE,False,True,False,2.6718040302062147
1787918400,355.09,425072.4086850001,355.94,1035.44,0.0,2026-08-28 12:00:00+00:00,2026-08-28 08:00:00-04:00,8,4,PRE,False,True,False,23.937593286209772
1787922000,354.69,4186133.621755,354.82,7366.45,0.0,2026-08-28 13:00:00+00:00,2026-08-28 09:00:00-04:00,9,4,PRE,False,True,False,3.6651724040710327
1787925600,354.21,5626334.043566001,354.33,4902.45,0.0,2026-08-28 14:00:00+00:00,2026-08-28 10:00:00-04:00,10,4,RTH,False,True,True,3.38782078428064
1787929200,348.48,4837969.832952,348.82,4859.62,0.0,2026-08-28 15:00:00+00:00,2026-08-28 11:00:00-04:00,11,4,RTH,False,True,True,9.756657483929493
1787932800,346.97,4866835.913397,347.29,4390.25,4.1e-05,2026-08-28 16:00:00+00:00,2026-08-28 12:00:00-04:00,12,4,RTH,False,True,True,9.222699368821313
1787936400,347.093,3490117.17619,347.47,1873.04,4.1e-05,2026-08-28 17:00:00+00:00,2026-08-28 13:00:00-04:00,13,4,RTH,False,True,True,10.861642268787026
1787940000,345.485,2151209.459027,346.05,2220.7,4.1e-05,2026-08-28 18:00:00+00:00,2026-08-28 14:00:00-04:00,14,4,RTH,False,True,True,16.35382143942567
1787943600,348.74,5055311.214701999,348.95,3877.95,4.1e-05,2026-08-28 19:00:00+00:00,2026-08-28 15:00:00-04:00,15,4,RTH,False,True,True,6.021678040946823
1787947200,347.84,4229619.100349001,348.18,818.87,4.1e-05,2026-08-28 20:00:00+00:00,2026-08-28 16:00:00-04:00,16,4,AH,False,True,False,9.77460901564029
1787950800,347.9,175271.564847,348.25,459.96,4.1e-05,2026-08-28 21:00:00+00:00,2026-08-28 17:00:00-04:00,17,4,AH,False,True,False,10.060362173038882
1787954400,347.78,17719.794149,348.21,48.17,4.1e-05,2026-08-28 22:00:00+00:00,2026-08-28 18:00:00-04:00,18,4,AH,False,True,False,12.364138248318099
1787958000,348.18,43927.137491,348.62,114.36,4.1e-05,2026-08-28 23:00:00+00:00,2026-08-28 19:00:00-04:00,19,4,AH,False,True,False,12.637141708311727
1787961600,348.184,1.8796,349.44,111.66,0.000342,2026-08-29 00:00:00+00:00,2026-08-28 20:00:00-04:00,20,4,WEEKEND,True,False,False,36.072881005444586
1787965200,348.36,1.0894,349.6,172.15,0.000342,2026-08-29 01:00:00+00:00,2026-08-28 21:00:00-04:00,21,4,WEEKEND,True,False,False,35.59536112068002
1787968800,348.34,3.1815,349.63,70.54,0.000342,2026-08-29 02:00:00+00:00,2026-08-28 22:00:00-04:00,22,4,WEEKEND,True,False,False,37.03278406154965
1787972400,348.56,0.51,349.34,24.26,0.000342,2026-08-29 03:00:00+00:00,2026-08-28 23:00:00-04:00,23,4,WEEKEND,True,False,False,22.377782878126368
1787976000,348.54,1.0052,349.4,215.42,0.000342,2026-08-29 04:00:00+00:00,2026-08-29 00:00:00-04:00,0,5,WEEKEND,True,False,False,24.67435588454573
1787979600,348.67,3.2819,349.76,200.83,0.000342,2026-08-29 05:00:00+00:00,2026-08-29 01:00:00-04:00,1,5,WEEKEND,True,False,False,31.261651418245762
1787983200,348.79,2.0213,349.93,24.02,0.000342,2026-08-29 06:00:00+00:00,2026-08-29 02:00:00-04:00,2,5,WEEKEND,True,False,False,32.68442329195178
1787986800,348.42,0.1,349.84,294.18,0.000342,2026-08-29 07:00:00+00:00,2026-08-29 03:00:00-04:00,3,5,WEEKEND,True,False,False,40.755410137189564
1787990400,348.89,2.4235,350.0,77.23,0.0,2026-08-29 08:00:00+00:00,2026-08-29 04:00:00-04:00,4,5,WEEKEND,True,False,False,31.81518530195803
1787994000,349.41,3.8606,350.05,88.66,0.0,2026-08-29 09:00:00+00:00,2026-08-29 05:00:00-04:00,5,5,WEEKEND,True,False,False,18.31659082453239
1787997600,349.39,2.1832,349.84,68.23,0.0,2026-08-29 10:00:00+00:00,2026-08-29 06:00:00-04:00,6,5,WEEKEND,True,False,False,12.87959014282002
1788001200,349.46,12.3065,349.75,17.4,0.0,2026-08-29 11:00:00+00:00,2026-08-29 07:00:00-04:00,7,5,WEEKEND,True,False,False,8.298517713043568
1788008400,349.68,13.0129,350.12,47.32,0.0,2026-08-29 13:00:00+00:00,2026-08-29 09:00:00-04:00,9,5,WEEKEND,True,False,False,12.582932967284309
1788012000,349.68,2.4523,350.31,11.36,0.0,2026-08-29 14:00:00+00:00,2026-08-29 10:00:00-04:00,10,5,WEEKEND,True,False,False,18.016472203157043
1788015600,349.3,146.3406,350.57,43.4,0.0,2026-08-29 15:00:00+00:00,2026-08-29 11:00:00-04:00,11,5,WEEKEND,True,False,False,36.358431148009785
1788019200,349.31,0.5395,350.53,43.9,0.0,2026-08-29 16:00:00+00:00,2026-08-29 12:00:00-04:00,12,5,WEEKEND,True,False,False,34.92599696544532
1788022800,349.27,9.851,350.48,12.38,0.0,2026-08-29 17:00:00+00:00,2026-08-29 13:00:00-04:00,13,5,WEEKEND,True,False,False,34.64368540098023
1788026400,349.48,4.0685,350.55,94.86,0.0,2026-08-29 18:00:00+00:00,2026-08-29 14:00:00-04:00,14,5,WEEKEND,True,False,False,30.61691656174869
1788030000,349.97,3.0358,350.63,207.14,0.0,2026-08-29 19:00:00+00:00,2026-08-29 15:00:00-04:00,15,5,WEEKEND,True,False,False,18.858759322226707
1788033600,349.94,1.6438,350.61,112.75,0.0,2026-08-29 20:00:00+00:00,2026-08-29 16:00:00-04:00,16,5,WEEKEND,True,False,False,19.146139338172713
1788040800,349.88,5.6386,350.58,52.72,0.0,2026-08-29 22:00:00+00:00,2026-08-29 18:00:00-04:00,18,5,WEEKEND,True,False,False,20.006859494683567
1788048000,350.02,1.342,350.75,39.91,0.0,2026-08-30 00:00:00+00:00,2026-08-29 20:00:00-04:00,20,5,WEEKEND,True,False,False,20.85595108850975
1788055200,350.25,1.5221,350.85,59.62,0.0,2026-08-30 02:00:00+00:00,2026-08-29 22:00:00-04:00,22,5,WEEKEND,True,False,False,17.130620985011355
1788062400,350.34,15.0012,351.29,185.95,0.0,2026-08-30 04:00:00+00:00,2026-08-30 00:00:00-04:00,0,6,WEEKEND,True,False,False,27.11651538505582
1788069600,350.32,0.1175,351.36,31.57,0.0,2026-08-30 06:00:00+00:00,2026-08-30 02:00:00-04:00,2,6,WEEKEND,True,False,False,29.687143183375785
1788073200,350.23,0.0425,351.25,22.04,0.0,2026-08-30 07:00:00+00:00,2026-08-30 03:00:00-04:00,3,6,WEEKEND,True,False,False,29.123718699140046
1788076800,350.34,2.5813,351.18,234.16,0.0,2026-08-30 08:00:00+00:00,2026-08-30 04:00:00-04:00,4,6,WEEKEND,True,False,False,23.976708340470168
1788080400,350.24,3.677,351.37,9.97,0.0,2026-08-30 09:00:00+00:00,2026-08-30 05:00:00-04:00,5,6,WEEKEND,True,False,False,32.263590680675975
1788084000,350.5,1.7286,351.72,65.84,0.0,2026-08-30 10:00:00+00:00,2026-08-30 06:00:00-04:00,6,6,WEEKEND,True,False,False,34.80741797432317
1788087600,350.95,9.2651,351.98,484.29,0.0,2026-08-30 11:00:00+00:00,2026-08-30 07:00:00-04:00,7,6,WEEKEND,True,False,False,29.348910101154853
1788091200,351.18,3.6358,352.28,364.85,0.0,2026-08-30 12:00:00+00:00,2026-08-30 08:00:00-04:00,8,6,WEEKEND,True,False,False,31.322968278374788
1788094800,351.05,2.8162,351.76,260.1,0.0,2026-08-30 13:00:00+00:00,2026-08-30 09:00:00-04:00,9,6,WEEKEND,True,False,False,20.225039168209072
1788098400,351.05,2.3999,352.02,65.03,0.0,2026-08-30 14:00:00+00:00,2026-08-30 10:00:00-04:00,10,6,WEEKEND,True,False,False,27.631391539665874
1788102000,350.56,33.9299,352.08,12.22,0.0,2026-08-30 15:00:00+00:00,2026-08-30 11:00:00-04:00,11,6,WEEKEND,True,False,False,43.35919671382878
1788105600,350.64,4.4615,351.98,29.12,0.0,2026-08-30 16:00:00+00:00,2026-08-30 12:00:00-04:00,12,6,WEEKEND,True,False,False,38.215833903719826
1788109200,350.86,5.8563,351.93,20.03,0.0,2026-08-30 17:00:00+00:00,2026-08-30 13:00:00-04:00,13,6,WEEKEND,True,False,False,30.49649432822189
1788112800,351.62,12.2349,352.92,65.32,0.0,2026-08-30 18:00:00+00:00,2026-08-30 14:00:00-04:00,14,6,WEEKEND,True,False,False,36.97173084579976
1788116400,351.93,6.6284,352.42,80.53,0.0,2026-08-30 19:00:00+00:00,2026-08-30 15:00:00-04:00,15,6,WEEKEND,True,False,False,13.923223368283724
1788120000,351.22,7.2196,351.63,73.39,0.0,2026-08-30 20:00:00+00:00,2026-08-30 16:00:00-04:00,16,6,WEEKEND,True,False,False,11.673594897783957
1788123600,350.42,12.6793,350.93,88.63,0.0,2026-08-30 21:00:00+00:00,2026-08-30 17:00:00-04:00,17,6,WEEKEND,True,False,False,14.55396381485049
1788127200,349.22,8.7655,349.65,272.45,0.0,2026-08-30 22:00:00+00:00,2026-08-30 18:00:00-04:00,18,6,WEEKEND,True,False,False,12.313155031210984
1788130800,346.76,30.3231,347.92,2581.93,0.0,2026-08-30 23:00:00+00:00,2026-08-30 19:00:00-04:00,19,6,WEEKEND,True,False,False,33.45253201061325
1788134400,347.58,40537.0,347.92,1056.13,0.0,2026-08-31 00:00:00+00:00,2026-08-30 20:00:00-04:00,20,6,WEEKEND,True,False,False,9.781920708902465
1788138000,346.83,16290.0,347.18,211.05,0.0,2026-08-31 01:00:00+00:00,2026-08-30 21:00:00-04:00,21,6,WEEKEND,True,False,False,10.091399244587341
1788141600,347.06,11779.0,347.29,233.75,0.0,2026-08-31 02:00:00+00:00,2026-08-30 22:00:00-04:00,22,6,WEEKEND,True,False,False,6.627096179335509
1788145200,347.26,5096.0,347.56,85.54,0.0,2026-08-31 03:00:00+00:00,2026-08-30 23:00:00-04:00,23,6,WEEKEND,True,False,False,8.639060070264684
1788148800,348.18,5319.0,348.47,162.58,0.0,2026-08-31 04:00:00+00:00,2026-08-31 00:00:00-04:00,0,0,ON,False,True,False,8.329025216842451
1788152400,348.85,10421.0,349.09,243.01,0.0,2026-08-31 05:00:00+00:00,2026-08-31 01:00:00-04:00,1,0,ON,False,True,False,6.879747742581403
1788156000,349.29,16944.0,349.68,302.07,0.0,2026-08-31 06:00:00+00:00,2026-08-31 02:00:00-04:00,2,0,ON,False,True,False,11.165507171690754
1788159600,348.95,10877.0,349.41,108.66,0.0,2026-08-31 07:00:00+00:00,2026-08-31 03:00:00-04:00,3,0,ON,False,True,False,13.18240435592596
