weekend,symbol,p_fri_1600,p_pre_0925,p_open_0930,p_0935,p_1000,weekend_dev_pct,snap_0930_pct,snap_0935_pct,snap_1000_pct,reverses_at_0930,reverses_at_0935,reverses_at_1000
Aug 7 - Aug 10,RNVDAUSDT,223.94,223.145,223.38,222.75,222.11,-0.3550058051263676,0.10531268905867718,-0.17701494543906887,-0.4638239709605846,True,False,False
Aug 7 - Aug 10,RTSLAUSDT,328.536,326.67,326.65,328.27,329.55,-0.5679742859229995,-0.006122386506271972,0.48979092050080075,0.8816236569014587,False,True,True
Aug 7 - Aug 10,RSPYUSDT,773.21,772.48,772.6,772.63,773.48,-0.09441160874794922,0.015534382767191973,0.019417978458986285,0.12945318972659486,,,
Aug 7 - Aug 10,RQQQUSDT,723.02,722.18,722.38,720.785,722.47,-0.11617935880059084,0.02769392672187619,-0.19316513888504,0.04015619374672205,,,
Aug 7 - Aug 10,RAAPLUSDT,313.298,306.35,306.73,306.61,306.99,-2.2176968892236717,0.12404112942712435,0.08487024645013576,0.20891137587726008,True,True,True
Aug 14 - Aug 17,RNVDAUSDT,225.16,225.8,225.99,225.72,226.185,0.2842423165748867,0.08414526129317879,-0.03542958370239704,0.17050487156775504,False,True,False
Aug 14 - Aug 17,RTSLAUSDT,342.34,340.522,340.545,337.89,339.362,-0.5310510019279031,0.006754335990046035,-0.7729309706861833,-0.34065346732368784,True,False,False
Aug 14 - Aug 17,RSPYUSDT,776.29,776.31,776.29,775.51,775.26,0.0025763567738837046,-0.002576290399451484,-0.10305161597814722,-0.13525524597132005,,,
Aug 14 - Aug 17,RQQQUSDT,731.035,732.94,732.96,732.42,733.197,0.26058943826220177,0.002728736322206703,-0.07094714437745184,0.03506426174038095,False,True,False
Aug 14 - Aug 17,RAAPLUSDT,305.93,305.93,306.2,305.76,305.41,0.0,0.08825548328048305,-0.05556826725068346,-0.16997352335500993,,,
Aug 21 - Aug 24,RNVDAUSDT,214.75,215.21,215.435,213.205,209.65,0.21420256111758226,0.1045490451187186,-0.9316481576134917,-2.5835230704892904,False,True,True
Aug 21 - Aug 24,RTSLAUSDT,362.67,361.46,362.11,355.26,353.95,-0.33363663936913346,0.17982626016710954,-1.7152658662092595,-2.0776849443921845,True,False,False
Aug 21 - Aug 24,RSPYUSDT,765.68,764.37,764.74,763.49,763.38,-0.17108975028731918,0.04840587673508962,-0.11512749061318411,-0.129518426939834,,,
Aug 21 - Aug 24,RQQQUSDT,713.4,709.52,709.65,706.72,704.45,-0.5438744042612834,0.018322246025481374,-0.3946329913180678,-0.7145675949937896,True,False,False
Aug 21 - Aug 24,RAAPLUSDT,309.27,311.25,311.46,310.54,311.825,0.6402172858667243,0.06746987951806571,-0.22811244979919024,0.18473895582328953,False,True,False
Aug 28 - Aug 31,RNVDAUSDT,217.535,218.81,218.94,217.13,218.835,0.586112579584897,0.059412275490149186,-0.7677894063342657,0.011425437594262457,False,True,False
Aug 28 - Aug 31,RTSLAUSDT,348.74,347.49,347.83,352.48,360.149,-0.3584332167230601,0.09784454228897953,1.4360125471236609,3.6429825318714184,True,True,True
Aug 28 - Aug 31,RSPYUSDT,769.36,767.32,767.34,766.36,766.21,-0.2651554538837428,0.0026064744826124445,-0.12511077516551586,-0.14465933378512402,True,False,False
Aug 28 - Aug 31,RQQQUSDT,716.43,715.17,714.96,715.8,715.261,-0.17587203215945604,-0.02936364780400782,0.08809094341205524,0.01272424738174255,,,
Aug 28 - Aug 31,RAAPLUSDT,319.59,319.51,319.7,318.1,317.23,-0.02503207234268409,0.05946605740039364,-0.4413007417608113,-0.7135926888047237,,,
Sep 4 - Sep 8 (Labor Day),RNVDAUSDT,230.36,233.14,233.21,231.84,229.5712,1.206806737280766,0.03002487775586412,-0.5576048726087256,-1.5307540533584894,False,True,True
Sep 4 - Sep 8 (Labor Day),RTSLAUSDT,354.08,357.16,357.27,361.365,360.175,0.8698599186624608,0.030798521670947696,1.1773434875125948,0.8441594803449396,False,False,False
Sep 4 - Sep 8 (Labor Day),RSPYUSDT,770.19,769.06,769.15,768.82,767.47,-0.1467170438463378,0.01170259797675498,-0.03120692793798864,-0.2067458975892542,,,
Sep 4 - Sep 8 (Labor Day),RQQQUSDT,718.96,720.9,720.97,719.84,717.47,0.2698342049627157,0.009710084616458597,-0.1470384241919747,-0.4757941462061243,False,True,True
Sep 4 - Sep 8 (Labor Day),RAAPLUSDT,319.97,317.19,317.12,317.2699,316.9,-0.8688314529487231,-0.022068791576024836,0.02518994924178227,-0.0914278508149754,False,True,False
Sep 11 - Sep 14,RNVDAUSDT,218.29,211.33,211.08,209.68,210.79,-3.1884190755417015,-0.11829839587375193,-0.7807694127667656,-0.2555245350873139,False,False,False
Sep 11 - Sep 14,RTSLAUSDT,365.44,359.72,359.95,365.37,360.21,-1.5652364273204822,0.06393861892582045,1.5706660736128035,0.13621705771154013,True,True,True
Sep 11 - Sep 14,RSPYUSDT,764.29,759.04,759.07,758.685,760.0,-0.6869120360072748,0.0039523608769085165,-0.04676960370995181,0.12647554806071307,True,False,True
Sep 11 - Sep 14,RQQQUSDT,714.88,703.4,703.29,703.34,705.785,-1.6058639212175496,-0.015638328120559233,-0.008529997156659858,0.3390673869775364,False,False,True
