symbol,type,interval,candle_count,oldest_candle_utc,newest_candle_utc,calendar_days,meets_60d_total,meets_30d_oos
RSPYUSDT,SPOT_RTOKEN,1D,300,2026-09-16 16:00:00+00:00,2025-10-05 16:00:00+00:00,-346.0,False,False
RSPYUSDT,SPOT_RTOKEN,1H,1000,2026-09-16 18:00:00+00:00,2026-07-28 18:00:00+00:00,-50.0,False,False
RQQQUSDT,SPOT_RTOKEN,1D,300,2026-09-16 16:00:00+00:00,2025-10-09 16:00:00+00:00,-342.0,False,False
RQQQUSDT,SPOT_RTOKEN,1H,1000,2026-09-16 18:00:00+00:00,2026-08-06 01:00:00+00:00,-41.7,False,False
RNVDAUSDT,SPOT_RTOKEN,1D,300,2026-09-16 16:00:00+00:00,2025-10-14 16:00:00+00:00,-337.0,False,False
RNVDAUSDT,SPOT_RTOKEN,1H,1000,2026-09-16 18:00:00+00:00,2026-08-06 02:00:00+00:00,-41.7,False,False
RTSLAUSDT,SPOT_RTOKEN,1D,300,2026-09-16 16:00:00+00:00,2025-10-14 16:00:00+00:00,-337.0,False,False
RTSLAUSDT,SPOT_RTOKEN,1H,1000,2026-09-16 18:00:00+00:00,2026-08-04 07:00:00+00:00,-43.5,False,False
RAAPLUSDT,SPOT_RTOKEN,1D,300,2026-09-16 16:00:00+00:00,2025-10-14 16:00:00+00:00,-337.0,False,False
RAAPLUSDT,SPOT_RTOKEN,1H,1000,2026-09-16 18:00:00+00:00,2026-08-03 03:00:00+00:00,-44.6,False,False
RMSFTUSDT,SPOT_RTOKEN,1D,300,2026-09-16 16:00:00+00:00,2025-10-14 16:00:00+00:00,-337.0,False,False
RMSFTUSDT,SPOT_RTOKEN,1H,1000,2026-09-16 18:00:00+00:00,2026-07-30 11:00:00+00:00,-48.3,False,False
SPYUSDT,STOCK_PERPETUAL,1D,90,2026-06-19 16:00:00+00:00,2026-09-16 16:00:00+00:00,89.0,True,True
QQQUSDT,STOCK_PERPETUAL,1D,90,2026-06-19 16:00:00+00:00,2026-09-16 16:00:00+00:00,89.0,True,True
NVDAUSDT,STOCK_PERPETUAL,1D,90,2026-06-19 16:00:00+00:00,2026-09-16 16:00:00+00:00,89.0,True,True
TSLAUSDT,STOCK_PERPETUAL,1D,90,2026-06-19 16:00:00+00:00,2026-09-16 16:00:00+00:00,89.0,True,True
AAPLUSDT,STOCK_PERPETUAL,1D,90,2026-06-19 16:00:00+00:00,2026-09-16 16:00:00+00:00,89.0,True,True
