symbol,type,gap_start_utc,gap_end_utc,gap_duration_hrs,dow_start,is_weekend
RSPYUSDT,SPOT_RTOKEN,2026-08-01 00:00:00+00:00,2026-08-01 09:00:00+00:00,9.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-01 09:00:00+00:00,2026-08-01 13:00:00+00:00,4.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-01 14:00:00+00:00,2026-08-01 16:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-01 16:00:00+00:00,2026-08-01 18:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-01 18:00:00+00:00,2026-08-02 02:00:00+00:00,8.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-02 05:00:00+00:00,2026-08-02 13:00:00+00:00,8.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-02 13:00:00+00:00,2026-08-02 23:00:00+00:00,10.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-07 23:00:00+00:00,2026-08-08 02:00:00+00:00,3.0,Friday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-08 02:00:00+00:00,2026-08-08 04:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-08 05:00:00+00:00,2026-08-08 07:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-08 08:00:00+00:00,2026-08-08 12:00:00+00:00,4.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-08 15:00:00+00:00,2026-08-08 17:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-08 17:00:00+00:00,2026-08-08 21:00:00+00:00,4.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-08 22:00:00+00:00,2026-08-09 04:00:00+00:00,6.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-09 04:00:00+00:00,2026-08-09 06:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-09 06:00:00+00:00,2026-08-09 08:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-09 08:00:00+00:00,2026-08-09 10:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-09 10:00:00+00:00,2026-08-09 12:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-09 14:00:00+00:00,2026-08-09 16:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-09 17:00:00+00:00,2026-08-09 20:00:00+00:00,3.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-09 20:00:00+00:00,2026-08-09 22:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-15 07:00:00+00:00,2026-08-15 09:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-15 11:00:00+00:00,2026-08-15 13:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-15 14:00:00+00:00,2026-08-15 17:00:00+00:00,3.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-15 17:00:00+00:00,2026-08-15 20:00:00+00:00,3.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-15 20:00:00+00:00,2026-08-16 02:00:00+00:00,6.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-16 03:00:00+00:00,2026-08-16 05:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-16 09:00:00+00:00,2026-08-16 12:00:00+00:00,3.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-16 12:00:00+00:00,2026-08-16 14:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-16 14:00:00+00:00,2026-08-16 16:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-16 16:00:00+00:00,2026-08-16 19:00:00+00:00,3.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-16 19:00:00+00:00,2026-08-16 21:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-16 21:00:00+00:00,2026-08-17 00:00:00+00:00,3.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-22 06:00:00+00:00,2026-08-22 08:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-22 08:00:00+00:00,2026-08-22 10:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-22 11:00:00+00:00,2026-08-22 13:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-22 20:00:00+00:00,2026-08-23 01:00:00+00:00,5.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-23 02:00:00+00:00,2026-08-23 07:00:00+00:00,5.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-23 07:00:00+00:00,2026-08-23 14:00:00+00:00,7.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-23 16:00:00+00:00,2026-08-23 19:00:00+00:00,3.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-23 19:00:00+00:00,2026-08-23 22:00:00+00:00,3.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-23 22:00:00+00:00,2026-08-24 00:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-29 00:00:00+00:00,2026-08-29 02:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-29 02:00:00+00:00,2026-08-29 06:00:00+00:00,4.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-29 06:00:00+00:00,2026-08-29 09:00:00+00:00,3.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-29 12:00:00+00:00,2026-08-29 15:00:00+00:00,3.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-29 17:00:00+00:00,2026-08-29 20:00:00+00:00,3.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-29 20:00:00+00:00,2026-08-30 01:00:00+00:00,5.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-30 01:00:00+00:00,2026-08-30 03:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-30 04:00:00+00:00,2026-08-30 08:00:00+00:00,4.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-30 08:00:00+00:00,2026-08-30 15:00:00+00:00,7.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-30 15:00:00+00:00,2026-08-30 17:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-30 18:00:00+00:00,2026-08-30 20:00:00+00:00,2.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-08-30 20:00:00+00:00,2026-08-30 23:00:00+00:00,3.0,Sunday,True
RSPYUSDT,SPOT_RTOKEN,2026-09-05 00:00:00+00:00,2026-09-05 02:00:00+00:00,2.0,Saturday,True
RSPYUSDT,SPOT_RTOKEN,2026-09-05 04:00:00+00:00,2026-09-05 10:00:00+00:00,6.0,Saturday,True
