asset,trade_id,entry_time,exit_time,session,is_oos,entry_price,exit_price,entry_basis_bps,exit_basis_bps,delta_basis_bps,hold_hrs,exit_reason,gross_pnl_bps,funding_bps,net_maker_bps,net_mixed_bps,net_taker_bps
SPY,1,2026-08-27 07:00:00-04:00,2026-08-27 10:00:00-04:00,PRE,False,769.58,770.52,11.70838320237408,2.661248969576436,-9.047134232797644,3,NORMALIZED,-12.207001061296156,0.0,-17.207001061296154,-22.707001061296154,-28.207001061296154
SPY,2,2026-08-28 20:00:00-04:00,2026-08-29 02:00:00-04:00,WEEKEND,False,769.27,770.48,25.54378282571629,4.804508446845315,-20.739274378870974,2,NORMALIZED,-15.71684038418661,0.0,-20.71684038418661,-26.21684038418661,-31.71684038418661
SPY,3,2026-08-29 06:00:00-04:00,2026-08-29 16:00:00-04:00,WEEKEND,False,770.7,770.95,21.715667789293956,2.4650993824284417,-19.250568406865515,6,NORMALIZED,-3.243278334141055,0.0,-8.243278334141054,-13.743278334141054,-19.243278334141056
SPY,4,2026-08-29 21:00:00-04:00,2026-08-30 13:00:00-04:00,WEEKEND,False,770.96,772.35,11.947431302270957,29.347219156202403,17.399787853931446,5,STOP_LOSS,-18.013236172280106,0.0,-23.013236172280106,-28.513236172280106,-34.0132361722801
SPY,5,2026-08-30 14:00:00-04:00,2026-08-30 19:00:00-04:00,WEEKEND,False,772.74,767.08,34.411562284927435,-21.59377682961688,-56.00533911454431,2,NORMALIZED,73.51541727319099,0.0,68.51541727319099,63.01541727319099,57.51541727319099
SPY,6,2026-09-01 20:00:00-04:00,2026-09-02 02:00:00-04:00,ON,False,762.29,761.65,11.820486215999386,2.626567732614509,-9.193918483384877,6,NORMALIZED,8.399281305373261,0.0,3.399281305373261,-2.100718694626739,-7.600718694626739
SPY,7,2026-09-05 14:00:00-04:00,2026-09-06 10:00:00-04:00,WEEKEND,False,771.5,770.82,11.679211004411853,4.54268173971761,-7.136529264694243,6,NORMALIZED,8.817885316420812,0.0,3.8178853164208117,-1.6821146835791883,-7.182114683579188
SPY,8,2026-09-08 09:00:00-04:00,2026-09-08 17:00:00-04:00,PRE,True,768.43,766.26,12.508632259240397,5.614823133070655,-6.893809126169741,8,TIMEOUT_8H,28.27934561589019,0.0,23.27934561589019,17.77934561589019,12.27934561589019
SPY,9,2026-09-09 06:00:00-04:00,2026-09-09 14:00:00-04:00,PRE,True,763.97,763.46,12.056877006750184,7.209238311204051,-4.8476386955461335,8,TIMEOUT_8H,6.6778840137028865,4.5600000000000005,6.237884013702887,0.737884013702887,-4.762115986297113
SPY,10,2026-09-10 06:00:00-04:00,2026-09-10 14:00:00-04:00,PRE,True,763.78,758.42,10.859143733251232,8.180257563965958,-2.678886169285274,8,TIMEOUT_8H,70.42467682326185,0.0,65.42467682326185,59.92467682326185,54.42467682326185
SPY,11,2026-09-11 21:00:00-04:00,2026-09-12 00:00:00-04:00,WEEKEND,True,765.21,765.57,11.382369102755378,4.443108607869945,-6.939260494885433,2,NORMALIZED,-4.703484584810776,0.060000000000000005,-9.643484584810777,-15.143484584810777,-20.64348458481078
SPY,12,2026-09-12 03:00:00-04:00,2026-09-12 05:00:00-04:00,WEEKEND,True,765.69,765.66,17.662296883586137,-0.130604568547689,-17.792901452133826,2,NORMALIZED,0.39181114707889775,0.02,-4.588188852921102,-10.088188852921101,-15.588188852921101
SPY,13,2026-09-12 21:00:00-04:00,2026-09-12 22:00:00-04:00,WEEKEND,True,765.26,765.29,12.036528246591295,-8.355854973691935,-20.39238322028323,1,NORMALIZED,-0.3920159420309663,0.0,-5.392015942030966,-10.892015942030966,-16.392015942030966
SPY,14,2026-09-13 20:00:00-04:00,2026-09-14 04:00:00-04:00,WEEKEND,True,761.48,760.12,12.754598887588951,13.808970376714711,1.05437148912576,8,TIMEOUT_8H,17.875924844311722,0.0,12.875924844311722,7.375924844311722,1.8759248443117222
SPY,15,2026-09-14 05:00:00-04:00,2026-09-14 13:00:00-04:00,PRE,True,758.92,763.2,13.567901588049384,11.151047570151157,-2.4168540178982276,8,TIMEOUT_8H,-56.237501381440495,3.46,-57.777501381440494,-63.277501381440494,-68.77750138144049
SPY,16,2026-09-15 03:00:00-04:00,2026-09-15 07:00:00-04:00,ON,True,758.36,760.16,11.353135313531531,3.9480957018392138,-7.405039611692318,4,NORMALIZED,-23.70730504773501,1.65,-27.05730504773501,-32.557305047735014,-38.057305047735014
SPY,17,2026-09-15 10:00:00-04:00,2026-09-15 18:00:00-04:00,RTH,True,757.38,759.27,12.426630003700769,12.30587781049189,-0.12075219320887953,8,TIMEOUT_8H,-24.923363707500943,0.0,-29.923363707500943,-35.42336370750094,-40.92336370750094
SPY,18,2026-09-15 23:00:00-04:00,2026-09-16 07:00:00-04:00,ON,True,759.95,760.99,11.461242556779318,11.495610802663592,0.03436824588427356,8,TIMEOUT_8H,-13.675755284092439,0.0,-18.67575528409244,-24.17575528409244,-29.67575528409244
SPY,19,2026-09-16 08:00:00-04:00,2026-09-16 16:00:00-04:00,PRE,True,760.7,755.36,11.054667965151893,16.775074758485154,5.720406793333261,8,TIMEOUT_8H,70.44605205278916,0.0,65.44605205278916,59.946052052789156,54.446052052789156
